"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Uruguay,4139.894,4588.983,3727.408,2032.97,1920.896,1865.107,2302.543,2864.701,2946.361,3088.005,3573.099,4281.106,4890.509,5663.12,6534.597,7171.511,7577.012,7925.923,8329.081,7814.547,7405.972,6776.82,4425.116,3926.713,4456.8,5637.982,6347.279,7587.881,9808.916,10181.702,12883.878,15267.777,16253.468,18167.344,18003.214,16692.648,16446.227,18388.305,18401.411,17402.438,15169.153,16756.344,18082.832,18782.327,19382.936,20006.81,20559.925,21121.276
Uzbekistan,,,,,,,,,,,,,209.573,315.613,366.873,561.752,754.528,772.325,773.322,868.991,702.209,587.633,481.995,499.329,585.221,689.391,811.157,1048.715,1324.54,1523.417,1777.487,2067.524,2284.525,2440.258,2651.384,2761.29,2712.808,1899.657,1611.233,1801.429,1766.473,2002.438,2071.365,2273.938,2552.197,2811.956,3075.869,3358.821
Vanuatu,1053.849,956.137,930.89,931.689,1111.403,976.747,918.675,989.126,1092.048,1054.904,1141.043,1333.385,1357.696,1277.011,1422.849,1479.565,1511.705,1537.62,1441.112,1435.664,1422.228,1317.091,1313.463,1542.059,1743.287,1824.505,1985.275,2308.554,2540.715,2519.625,2719.254,3007.564,2934.853,2940.193,2947.953,2771.657,2844.132,3158.901,3256.353,3187.38,3294.723,3045.425,3144.839,3207.773,3305.032,3414.65,3498.753,3580.761
Venezuela,4671.078,5085.58,5041.589,4883.234,3447.45,3472.186,3488.564,2619.24,3292.792,2378.158,2492.939,2685.293,2968.496,2876.077,2741.979,3559.77,3174.631,3778.537,3970.433,4133.37,4820.646,4963.916,3778.255,3266.095,4311.999,5421.656,6646.803,8538.102,11079.069,9557.55,11158.18,12180.028,11993.39,8695.044,6747.666,10568.1,9092.02,4725.05,3404.428,2299.308,1690.659,1685.657,1823.602,1877.248,,,,
Vietnam,652.593,318.521,414.347,612.565,1044.409,318.956,705.99,856.91,464.581,123.364,121.715,141.111,178.973,234.983,285.953,358.661,419.063,449.338,448.119,465.248,498.579,513.197,546.555,610.357,756.981,873.136,996.255,1152.267,1446.562,1481.442,1628.013,1949.826,2197.619,2369.973,2566.854,2581.907,2720.168,2957.899,3201.686,3398.214,3520.738,3724.543,4121.504,4621.64,5107.333,5612.022,6140.344,6682.418
West Bank and Gaza,,,,,,,,,,,,,,,1227.237,1322.057,1296.081,1350.947,1416.578,1441.889,1412.75,1275.685,1102.5,1197.161,1350.906,1461.093,1480.704,1563.701,1913.316,2061.558,2406.261,2711.917,2888.598,3122.985,3158.599,3084.132,3325.846,3407.307,3353.225,3442.754,3044.744,3400.475,3681.841,3816.433,3903.31,3974.11,4041.333,4119.272
Yemen,,,,,,,,,,,1046.183,1158.26,1347.736,1550.719,1907.036,835.235,408.835,416.742,374.177,439.595,541.509,535.776,565.216,605.153,692.79,812.886,900.882,995.353,1203.721,1093.813,1309.232,1349.42,1421.171,1580.182,1647.034,1576.912,1135.353,950.153,747.223,739.947,622.897,712.305,890.998,916.781,949.319,989.124,1037.204,1095.326
Zambia,718.795,718.743,672.013,562.441,448.532,412.851,276.151,332.268,543.316,561.832,509.752,446.778,424.949,405.587,405.544,410.542,378.71,440.701,352.627,330.283,340.164,356.323,376.468,429.01,530.54,691.554,1030.685,1103.688,1365.933,1135.008,1456.052,1635.168,1724.628,1839.334,1726.647,1310.458,1254.12,1500.962,1480.42,1272.238,959.148,1066.671,1330.374,1342.311,1404.811,1461.108,1508.871,1566.14
Zimbabwe,,,,,,,,,,,1036.534,936.263,748.65,702.439,714.032,717.092,849.876,881.223,1029.202,1003.834,969.824,964.08,922.878,822.472,806.898,764.632,677.881,646.558,553.376,790.352,975.851,1131.675,1310.442,1421.696,1415.278,1425.466,1444.716,1481.241,2523.134,1542.693,1523.835,2102.18,2300.56,2143.877,2190.786,2167.476,2107.953,2074.797
Africa (Region),,,,,,,,,,,1087.313,975.732,946.93,918.4,879.148,1022.038,1113.496,1127.496,1113.355,900.011,899.635,850.013,848.763,994.652,1159.495,1330.368,1495.267,1699.695,1916.879,1774.472,2028.765,2201.711,2282.389,2299.538,2316.211,2058.579,1909.731,1876.313,1961.64,1960.526,1849.348,2032.149,2182.054,2279.445,2401.074,2533.733,2674.676,2816.336
Asia and Pacific,965.824,1013.317,967.163,1009.487,1051.975,1052.77,1314.59,1532.527,1796.658,1834.335,1879.037,2037.121,2151.094,2385.729,2543.581,2847.71,2738.465,2597.203,2287.69,2509.267,2653.733,2445.662,2468.98,2723.157,3038.344,3249.36,3441.165,3892.509,4354.294,4431.126,5123.523,5832.547,6131.471,6163.686,6324.964,6213.915,6395.041,6790.651,7222.04,7341.378,7304.963,8228.052,8894.571,9609.274,10248.559,10898.306,11560.903,12249.087
Australia and New Zealand,10348.102,11656.251,11396.504,10813.592,11612.893,10279.268,10754.219,12687.334,15802.822,17346.832,17961.906,17612.531,17042.15,16622.672,18872.267,20238.057,22365.921,22205.09,19444.407,20667.317,19727.4,18503.505,20680.037,26130.128,31487.357,34721.409,35952.904,42939.246,46285.152,42860.906,52740.56,62493.947,63801.032,61493.626,58830.351,49283.422,49808.733,53588.272,54090.094,52308.224,50960.091,61022.77,64539.075,66935.114,69333.588,71358.581,73689.414,76132.305
Caribbean,1532.548,1643.669,1796.296,1765.159,1746.37,1757.764,1646.645,1524.359,1519.518,1602.351,1720.949,1688.661,1645.727,1672.42,1870.885,2239.634,2384.784,2540.191,2692.487,2829.38,2934.249,2922.927,2996.403,3061.718,3354.719,3752.144,4044.081,4520.923,5042.382,4380.916,4639.114,4968.835,5089.952,5177.948,5198.497,5052.915,4739.641,4901.33,5085.192,5028.543,4361.074,4949.372,5573.905,5849.376,5974.595,6131.974,6297.646,6471.701
Central America,1282.578,1250.977,1226.478,1251.23,1438.676,1205.307,1086.235,1128.263,1107.77,1206.204,1118.35,1279.435,1430.993,1547.189,1583.171,1724.277,1805.45,1929.173,2047.56,2034.55,2121.671,2195.145,2272.449,2186.33,2296.947,2706.237,2918.026,3268.356,3622.263,3563.813,3904.817,4308.305,4575.937,4781.63,5026.094,5305.554,5520.376,5761.787,5900.967,6032.063,5493.169,6156.633,6607.383,6918.486,7277.966,7641.747,8023.338,8425.531
Central Asia and the Caucasus,2133.685,2113.068,1876.637,1753.332,1668.464,1835.181,1983.05,2260.66,2333.225,2707.896,3738.161,,1911.941,2238.904,1670.342,2182.672,2340.272,2430.693,2524.398,2336.649,2452.981,,1988.413,2521.082,3221.958,3958.457,4481.02,5509.872,6272.52,5338.628,6290.767,6989.747,7316.286,7841.508,7609.399,6708.144,6293.224,6241.982,5790.612,5694.419,5339.4,6949.581,6445.174,6772.498,7421.275,8068.39,8736.185,9480.359
East Asia,1345.555,1427.812,1337.44,1438.817,1507.113,1556.794,2105.059,2508.344,3020.931,3067.105,3081.572,3456.514,3773.513,4274.071,4590.83,5148.96,4803.995,4519.661,4104.019,4576.907,4925.666,4537.436,4526.851,4907.489,5407.63,5683.567,5903.895,6489.531,7397.996,7726.821,8779.033,10077.523,10736.948,10775.243,11174.207,11209.243,11595.274,12256.851,13344.538,13624.002,13895.969,15620.072,17158.614,18726.475,20073.882,21460.337,22879.099,24368.82
Eastern Europe ,1996.603,2103.665,2258.093,2265.028,2160.768,2138.522,2207.307,2239.811,2614.093,,,,977.024,1454.895,1904.347,2356.832,2700.061,2783.179,2433.799,2103.141,2295.9,2614.385,2972.142,3642.394,4659.608,5730.814,6972.86,9036.001,11322.416,8865.814,10046.864,11894.07,12077.207,12669.112,11923.105,8989.412,8841.653,10329.961,11281.993,11614.043,10917.735,12854.588,14525.855,14798.982,15512.579,16305.826,17041.158,17815.854
Europe,8994.865,8056.5,7778.555,7560.288,7250.818,7484.42,10061.454,12330.944,13756.894,,,,13268.86,12181.235,13077.396,14819.297,15167.602,14248.212,14494.107,14358.659,13491.652,13725.743,15003.98,18206.031,21127.343,22345.116,24122.581,28069.97,30776.684,26984.15,27383.412,30091.942,28763.901,29937.728,30359.449,26025.448,25988.407,27585.722,29737.19,29323.829,28281.422,32064.174,34231.195,36169.144,37991.814,39715.748,41396.999,43029.342
Middle East (Region),5510.843,5773.875,5406.575,5298.531,5064.406,4905.436,4794.089,5615.825,5757.817,6374.928,7827.88,5384.726,3359.235,3457.92,3667.673,4026.279,4528.966,4772.313,4622.465,5273.214,6406.09,5960.553,4614.574,4453.55,5196.852,6181.801,7092.735,8200.329,9982.132,8645.944,9999.029,12967.735,12533.624,12774.536,12791.181,10877.533,10748.39,11354.49,12395.034,12776.931,12486.033,15806.794,19023.122,18990.173,19190.412,19542.129,19984.767,20516.741
North Africa,1548.108,1443.547,1455.732,1484.135,1496.108,1612.772,1624.691,1831.649,1882.168,2070.635,2060.624,1525.755,1519.983,1486.009,1452.712,1569.805,1709.741,1725.984,1746.615,1816.808,1882.457,1812.834,1644.809,1797.553,1996.46,2280.535,2562.38,2973.994,3526.144,3271.245,3666.555,3779.641,4191.556,4063.048,3975.413,3665.134,3578.02,3102.954,3251.875,3436.786,3458.452,3847.783,4172.459,4248.259,4429.979,4665.979,4912.084,5165.794
North America,10457.985,11686.633,11731.442,12418.412,13601.14,14385.174,14755.961,15564.767,16773.882,17980.238,18830.47,19291.838,20088.555,20918.945,21835.939,22106.304,23123.812,24384.272,25313.179,26696.554,28313.075,28914.37,29516.171,30665.7,32548.608,34659.111,36611.408,38198.393,38767.908,36889.969,38646.642,40133.999,41297.208,42387.388,43507.773,43698.887,44099.57,45778.98,47872.45,49386.299,47441.722,52516.609,57407.609,60119.127,62143.803,64131.304,66152.879,68246.155
Pacific Islands ,1419.647,1376.43,1284.999,1234.135,1163.535,1062.668,1135.808,1200.087,1486.961,1420.551,1322.037,1471.028,1580.121,1723.929,1868.523,1713.098,1788.644,1693.254,1308.568,1253.948,1192.989,1066.372,1046.757,1264.603,1430.638,1606.335,1737.071,1921.938,2197.994,2054.988,2339.625,2774.344,3048.886,3020.042,3195.231,2965.437,2849.519,3052.666,3160.377,3153.694,3000.671,3154.497,3413.52,3625.629,3789.934,3949.9,4071.899,4238.024
South America,2459.251,2414.859,2000.819,1835.912,1761.792,1905.876,2109.364,2195.419,2400.208,2580.8,2794.906,2817.396,2961.491,3143.644,3679.53,4528.092,4751.579,4975.139,4838.659,3847.511,4003.904,3627.888,2818.39,2997.439,3578.22,4514.338,5424.905,6668.632,8009.268,7632.234,9672.826,11287.323,11145.147,11027.253,10604.128,9073.137,8666.856,9342.18,8685.2,8184.165,6625.986,7521.976,8341.517,8834.961,9269.231,9631.224,10011.703,10386.957
South Asia,285.689,294.159,297.793,307.113,300.831,317.738,327.906,354.94,371.868,370.041,388.451,344.376,357.487,347.394,384.721,419.408,444.33,456.398,453.825,471.99,474.426,476.696,492.017,563.307,642.89,724.037,809.102,1006.74,1008.984,1090.198,1312.03,1406.442,1403.09,1422.393,1539.478,1591.331,1698.673,1918.173,1949.874,1992.506,1880.573,2111.148,2259.434,2437.359,2619.171,2812.968,3010.359,3211.765
Southeast Asia,777.13,767.428,799.2,803.287,893.463,746.603,757.633,801.95,819.039,852.681,947.247,1044.593,1167.086,1286.275,1445.002,1652.937,1803.764,1683.17,1026.01,1187.582,1250.818,1190.156,1309.912,1455.178,1624.029,1787.226,2113.154,2490.936,2862.992,2795.011,3415.372,3922.203,4113.805,4201.591,4186.457,4018.465,4165.683,4445.541,4716.388,4939.723,4659.177,5035.711,5416.479,5826.89,6217.553,6607.168,7014.828,7425.169
Sub-Saharan Africa (Region) ,,,,,,,,,,,863.811,850.412,817.979,791.146,751.514,900.539,982.268,996.839,976.166,702.975,691.015,647.561,682.995,829.517,989.096,1138.709,1281.966,1447.569,1600.696,1482.462,1711.581,1899.16,1918.577,1965.525,2003.754,1757.689,1599.398,1647.116,1722.616,1689.535,1557.522,1705.799,1827.694,1932.265,2046.771,2164.827,2291.312,2417.807
Western Europe,10531.543,9367.286,8999.304,8739.033,8388.877,8683.55,11827.267,14603.778,16262.749,16477.646,20315.197,21482.116,23257.938,21046.9,22261.386,25456.425,25873.703,24266.89,24977.32,24942.572,23094.688,23173.454,25122.729,30335.621,34715.821,35913.365,38008.978,43357.751,46267.107,41327.163,41023.836,44326.713,41762.961,43343.374,44612.579,39130.657,39109.532,40725.942,43713.644,42665.66,41282.161,46364.327,46943.695,49901.065,52377.767,54637.043,56859.125,58973.199
Western Hemisphere (Region),6723.099,7348.051,7187.443,7467.579,8051.409,8497.888,8746.909,9184.399,9879.343,10569.04,11049.251,11288.21,11752.408,12248.061,12867.785,13353.873,13930.948,14659.88,15065.427,15335.285,16201.53,16328.192,16277.116,16909.852,18095.027,19564.694,20934.274,22277.046,23149.234,22020.072,23767.753,25204.701,25725.881,26215.122,26590.975,26028.546,26046.704,27170.489,27939.669,28451.005,26760.33,29677.479,32464.535,34015.952,35198.452,36324.433,37472.61,38594.445
ASEAN-5,746.161,732.669,761.511,757.469,843.358,683.404,720.252,761.285,769.155,791.254,869.41,952.585,1063.576,1170.019,1306.333,1489.865,1631.755,1501.781,951.324,1133.975,1182.511,1131.453,1265.556,1416.73,1568.009,1722.757,2047.329,2405.636,2787.209,2709.422,3316.418,3782.601,3964.764,4042.275,4011.969,3843.727,4001.712,4276.741,4516.582,4773.034,4495.626,4853.787,5214.796,5647.226,6058.092,6462.376,6883.689,7305.531
Advanced economies,10308.883,10390.238,10248.355,10599.534,11025.229,11541.181,14018.532,16208.645,18195.757,18849.116,20979.107,22208.547,23579.252,23399.525,24944.414,27031.915,27049.782,26356.929,26294.312,27528.29,27823.59,27360.345,28362.156,31622.042,34869.746,36457.483,38098.352,41341.426,43361.193,40676.735,42265.341,45140.18,44773.519,44976.64,45795.91,43114.998,44046.051,45745.033,48227.135,48502.033,47140.132,52066.503,54851.15,58022.216,60516.786,62953.5,65351.894,67708.102
Emerging and Developing Asia,360.356,350.483,350.974,364.296,375.705,358.171,359.979,386.375,423.495,443.047,437.928,433.804,483.567,538.604,553.506,652.13,727.794,745.02,670.052,726.253,770.228,802.727,869.009,979.517,1123.874,1284.458,1507.072,1890.818,2251.81,2422.832,2892.409,3420.798,3733.654,4047.45,4330.425,4464.866,4547.98,4958.583,5424.801,5610.045,5643.64,6484.656,7255.324,7905.804,8500.56,9095.951,9715.457,10372.437
Emerging and Developing Europe,2046.064,2107.093,2117.57,2074.814,1975.881,2023.457,2121.416,2247.872,2504.384,,,,1382.969,1856.944,2038.478,2449.984,2765.218,2869.812,2561.694,2215.113,2439.209,2500.08,2845.316,3516.846,4541.85,5640.718,6729.538,8616.882,10583.166,8278.405,9619.222,11224.359,11544.554,12180.914,11443.052,8865.229,8689.797,9788.049,10193.855,10379.577,9692.47,11314.051,12039.882,12133.072,12819.375,13566.057,14289.585,15082.011
Emerging market and developing economies,887.373,908.006,841.881,811.299,795.935,789.708,792.905,857.097,924.932,991.12,1281.628,1158.242,951.71,1059.83,1125.44,1273.152,1399.065,1461.698,1374.813,1311.653,1416.327,1402.408,1371.333,1521.487,1784.291,2105.423,2457.872,2989.431,3535.591,3334.888,3955.718,4615.77,4801.21,5030.601,5120.135,4782.646,4717.614,5078.156,5373.672,5456.595,5242.655,6076.381,6715.555,7136.162,7559.304,7986.364,8429.508,8897.302
Euro area,,,,,,,,,,,,19642.824,21569.459,19510.81,20543.512,24187.617,24493.844,21937.401,22295.684,22285.258,20254.244,20484.02,22247.664,27247.525,31066.708,32033.616,33871.332,38845.976,42472.218,38624.761,37727.081,40753.233,37717.977,39267.481,40005.404,34485.857,35225.543,37215.109,40162.419,39274.023,37997.506,42342.064,42233.844,44821.994,47085.321,49098.872,51021.25,52830.247
European Union,8542.905,7508.425,7254.728,7074.367,6797.329,6981.273,9567.226,11701.438,12876.514,13059.791,15991.908,16970.205,18243.913,16340.672,17293.806,19545.136,19842.407,18198.872,18740.519,18620.097,17054.567,17300.011,18856.626,23107.079,26474.094,27532.649,29288.253,33823.329,37305.926,33700.937,33250.859,35907.901,33322.637,34772.229,35526.306,30690.489,31390.89,33305.034,36011.65,35291.21,34317.292,38391.816,38559.875,41017.671,43182.162,45209.939,47144.557,48999.889
Latin America and the Caribbean,2524.537,2664.859,2135.413,1900.319,1935.307,2039.369,1983.059,2070.576,2293.611,2526.233,2764.678,2913.554,3136.359,3474.495,3872.607,4095.149,4356.324,4696.912,4655.556,4111.786,4426.786,4250.684,3714.278,3729.387,4226.381,5072.421,5879.703,6888.901,7924.446,7241.576,8919.12,10244.958,10181.967,10218.652,9995.131,8717.407,8278.234,8871.462,8527.591,8255.083,6827.674,7819.903,8457.797,8896.654,9307.226,9668.804,10048.405,10429.187
Major advanced economies (G7),11275.794,11550.012,11432.736,12001.219,12568.582,13250.798,15953.525,18239.097,20388.111,21015.93,23040.746,24470.181,26072.394,26395.678,28029.058,30369.729,30130.41,29546.758,29763.056,31193.354,31739.898,31178.506,31954.957,35076.343,38306.161,39750.47,41227.401,44029.132,45888.994,43477.099,44926.871,47535.485,47548.497,47354.731,48259.524,46091.138,47144.81,48562.179,51077.864,51816.039,50236.58,54939.129,58338.474,61743.226,64276.763,66804.111,69261.608,71666.717
Middle East and Central Asia,2153.678,2205.735,2112.081,2082.126,2047.107,2045.138,2013.05,2324.575,2374.115,2649.587,3149.803,2212.611,1357.434,1418.951,1467.863,1631.461,1814.901,1888.603,1855.215,2041.224,2357.547,2232.533,1789.233,1940.939,2283.132,2734.821,3201.025,3753.578,4498.322,3969.661,4558.114,5493.25,5410.122,5468.904,5458.331,4760.797,4555.33,4591.213,4903.042,4993.315,4837.031,6127.341,7189.32,7254.275,7386.238,7578.292,7806.651,8069.742
Other advanced economies,6879.456,6922.473,6782.542,6688.6,6939.586,6854.526,8282.987,10094.604,11771.582,12671.232,14434.25,15144.162,15979.234,15607.313,17337.23,18755.836,19799.617,19017.926,17025.081,18106.033,18533.402,17795.522,19233.954,22036.356,25033.441,27442.7,29485.797,33440.47,34967.257,31866.544,36430.613,41277.373,41264.123,42357.395,42807.043,39087.718,39562.861,42250.986,44173.899,43069.197,42526.403,48905.393,50868.25,53554.814,56003.234,58331.741,60770.857,63260.86
Sub-Saharan Africa,,,,,,,,,,,906.496,891.425,855.704,823.993,780.788,934.664,1018.273,1030.707,1008.082,720.126,704.235,654.891,689.187,839.431,1000.573,1146.466,1283.191,1439.994,1595.396,1486.314,1715.152,1893.242,1939.643,1985.511,2019.578,1760.42,1596.19,1664.256,1759.809,1725.536,1587.275,1741.827,1873.572,1981.845,2099.289,2220.479,2350.649,2480.076
World,2864.122,2877.024,2772.884,2797.84,2847.722,2920.555,3378.342,3822.601,4224.717,4367.246,4764.863,4852.513,4803.3,4856.229,5132.826,5627.846,5696.333,5594.579,5449.9,5568.123,5672.277,5559.954,5654.736,6246.73,6945.233,7431.706,7951.142,8867.535,9602.634,8988.907,9717.606,10688.159,10734.925,10916.797,11070.389,10354.724,10392.702,10903.443,11471.331,11539.913,11130.855,12517.296,13446.741,14204.499,14867.45,15523.137,16183.734,16854.315
