"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Chad,163.554,189.349,178.888,174.759,182.983,192.956,230.715,253.529,287.003,262.413,306.217,293.844,296.666,251.096,196.901,233.418,250.861,232.968,254.121,215.939,188.139,223.102,250.264,330.959,513.888,661.203,712.529,803.018,932.601,805.798,895.354,985.629,970.738,982.92,1024.838,776.105,700.558,671.18,713.426,689.327,653.088,697.339,742.943,754.249,771.297,791.488,815.339,839.87
Chile,2672.028,3112.004,2283.081,1825.132,1747.253,1475.216,1558.144,1806.142,2093.202,2371.187,2593.26,2930.765,3488.53,3673.656,4173.948,5300.412,5540.577,5949.743,5641.903,5130.835,5253.388,4720.853,4577.925,4903.621,6339.739,7751.049,9635.545,10676.726,10934.023,10378.663,12922.145,14729.12,15442.446,15740.558,14581.434,13493.328,13720.687,14996.687,15746.562,14572.234,12976.517,16069.808,15941.341,17453.472,18671.29,19816.599,20870.963,21914.662
"China, People's Republic of",306.98,288.491,279.971,296.509,301.111,292.99,279.908,299.842,368.079,406.534,346.873,356.759,420.025,520.966,468.658,603.526,703.06,774.91,820.903,865.236,951.163,1044.958,1141.14,1282.21,1499.712,1751.368,2095.239,2691.048,3446.695,3813.408,4499.803,5553.242,6282.709,7039.574,7645.875,8034.287,8063.446,8760.259,9848.949,10170.061,10525.001,12358.797,14096.235,15485.9,16739.954,17991.205,19311.818,20742.581
Colombia,1681.746,1792.259,1878.1,1827.165,1767.178,1623.001,1592.203,1623.397,1714.216,1693.406,1690.422,1711.654,1985.739,2208.309,2725.713,3034.085,3135.799,3397.954,3089.652,2672.583,2534.451,2460.333,2423.37,2312.603,2826.048,3493.986,3836.672,4834.427,5622.109,5330.795,6498.585,7518.304,8237.293,8409.688,8312.056,6337.03,6037.133,6577.287,6923.64,6540.141,5368.319,6156.137,6806.523,7103.075,7436.342,7776.733,8131.178,8500.837
Comoros,684.569,584.519,541.617,513.524,490.137,482.697,629.744,741.276,772.133,731.08,868.945,895.707,955.474,916.695,660.355,806.805,789.145,714.272,701.452,703.067,628.071,675.05,757.399,949.68,1055.357,1085.659,1110.984,1251.857,1403.796,1351.145,1322.638,1450.159,1403.417,1500.731,1505.178,1231.135,1256.035,1300.566,1386.014,1359.75,1357.291,1405.723,1371.029,1398.915,1433.777,1478.366,1526.871,1571.862
"Congo, Dem. Rep. of the",2730.694,2301.277,2422.242,1891.283,1221.72,1080.898,1174.016,1075.998,1206.847,1188.851,1192.38,1120.914,973.197,1222.443,639.608,601.803,750.736,642.729,461.123,410.453,397.025,146.542,171.076,171.505,189.173,215.172,248.176,280.397,316.269,289.689,326.681,379.705,417.545,450.642,479.602,490.698,459.14,460.832,553.88,573.292,536.45,608.952,669.365,715.246,758.577,802.681,848.236,898.912
"Congo, Republic of ",1362.75,1083.721,916.547,808.393,721.033,717.264,951.697,1121.613,1157.519,1150.77,1310.373,1326.741,1398.92,1249.625,839.501,973.005,1097.225,967.806,823.561,949.351,1268.422,1037.327,1109.284,1255.568,1617.326,2058.304,2436.377,2586.304,3346.18,2722.039,3597.956,4175.34,4607.39,4559.725,4438.243,2873.72,2395.178,2555.443,3062.923,2800.287,2206.164,2677.272,3242.942,3102.36,3179.841,3134.304,3090.074,3153.641
Costa Rica,2108.75,1111.35,1071.935,1257.355,1421.164,1478.366,1611.323,1612.564,1598.038,1763.481,1880.75,2305.412,2684.089,2926.911,3110.155,3336.709,3277.614,3450.907,3653.154,3715.408,3941.14,4041.943,4122.829,4227.819,4483.59,4756.337,5309.271,6194.045,6993.896,6879.266,8268.859,9270.571,10107.452,10764.529,10853.638,11635.197,11986.918,12185.259,12428.924,12691.126,12117.607,12408.353,12483.076,12900.937,13459.046,14003.101,14574.518,15176.664
Croatia,,,,,,,,,,,,,2597.101,2812.884,3846.143,5042.842,5267.39,5259.29,5648.035,5148.069,4985.102,5412.502,6293.502,8130.467,9746.539,10621.885,11797.839,14047.053,16415.451,14653.769,14068.926,14755.903,13400.312,13836.714,13763.671,11932.274,12528.846,13627.745,15226.937,15312.634,14131.444,16817.843,17337.821,19038.201,20370.52,21625.009,22794.31,23966.26
Cyprus,4549.649,4352.558,4452.724,4399.28,4575.712,4824.737,6057.982,7188.31,8204.406,8635.877,10360.133,10413.861,12158.755,11342.555,12525.481,15397.119,15260.362,14324.09,15181.803,15379.994,14464.816,14905.024,16188.394,20389.337,23969.818,25527.252,27448.569,31774.426,36009.56,32650.09,31439.124,32819.299,28993.69,27601.694,26995.341,23428.592,24692.372,26746.151,29546.547,29411.884,27783.759,30846.478,30663.215,33029.716,35293.034,37242.479,39233.606,41297.923
Czech Republic,,,,,,,,,,,,,,,,5820.043,6529.042,6030.633,6484.201,6333.862,6015.067,6627.103,8056.318,9823.287,11751.897,13446.938,15284.674,18527.743,22925.748,19908.146,19983.577,21890.781,19880.902,20129.622,19915.381,17842.868,18597.213,20666.666,23463.602,23709.181,22941.904,26410.645,27609.193,29671.723,31703.992,33719.604,35536.641,37365.379
Côte d'Ivoire,1736.221,1406.871,1215.248,1043.542,1012.116,993.889,1280.028,1355.587,1357.326,1248.332,1327.006,1240.002,1268.082,1142.984,835.236,1073.949,1152.482,1084.69,1137.461,1088.344,920.472,935.446,1009.639,1216.937,1282.215,1287.97,1308.58,1458.236,1697.048,1657.596,1650.956,1660.451,1686.73,1919.162,2115.189,1932.222,1971.618,2066.845,2265.294,2227.982,2279.02,2521.904,2574.087,2759.276,2934.729,3107.79,3275.001,3434.283
Denmark,13886.37,12076.174,11801.273,11852.891,11561.767,12259.279,17215.426,21349.948,22528.114,21913.155,26920.581,27052.653,29622.474,27640.496,30050.878,35471.255,35732.689,32897.57,33426.974,33492.354,30798.717,30806.607,33275.556,40512.045,46571.283,48872.095,52121.249,58641.193,64531.119,58286.537,58177.162,61864.093,58623.414,61325.575,62729.499,53478.495,54862.848,57772.553,61724.492,59861.612,61153.924,67758.08,68093.996,71255.544,74668.999,78210.607,81826.293,85518.204
Djibouti,,,,,,,,,,,1075.36,1069.557,1090.968,1057.622,1108.889,1108.216,1077.268,1067.631,1060.78,1084.063,1087.355,1105.798,1120.277,1159.545,1211.886,1270.208,1358.408,1477.246,1691.086,1720.974,1835.753,2036.942,2188.544,2312.721,2465.985,2675.575,2818.34,2930.674,3141.862,3407.571,3451.606,3580.751,3775.004,4077.625,4395.118,4716.322,5063.184,5437.882
Dominica,,1112.642,1217.573,1346.688,1495.272,1642.752,1864.889,2102.964,2377.904,2582.185,2819.552,3087.299,3287.848,3448.673,3713.105,3855.291,4104.42,4254.367,4526.684,4657.561,4681.178,4775.344,4680.264,4825.77,5165.218,5127.438,5497.251,5939.91,6463.44,6903.996,6980.957,7160.275,6994.866,7153.468,7388.583,7596.222,8089.25,7768.354,8118.956,8524.696,7415.079,7690.55,8575.285,9334.172,9905.879,10462.987,10884.544,11321.973
