"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Pacific Islands ,5.931,5.896,5.644,5.54,5.342,4.995,5.439,5.71,7.232,7.168,6.954,7.912,9.017,10.046,11.088,10.501,11.223,10.901,8.629,8.454,8.219,7.507,7.528,9.291,10.736,12.311,13.594,15.356,17.923,17.1,20.337,25.199,28.946,29.245,31.552,29.853,29.241,31.941,33.708,34.289,33.262,35.651,39.334,42.598,45.403,48.25,50.72,53.83
South America,582.575,585.622,495.858,464.663,455.403,501.405,565.606,600.134,668.658,732.322,813.464,835.36,893.758,965.28,1148.917,1436.799,1542.09,1639.592,1619.28,1306.675,1381.42,1269.222,999.088,1076,1300.386,1660.271,2018.879,2510.233,3049.135,2938.397,3767.767,4443.223,4433.017,4430.74,4303.897,3719.955,3586.348,3898.775,3647.414,3469.899,2838.2,3242.619,3618.571,3858.661,4077.707,4269.845,4473.107,4699.68
South Asia,254.293,268.161,278.039,293.626,294.446,318.27,336.033,372.003,398.463,405.225,434.724,393.485,417.661,414.252,468.099,520.544,562.398,588.934,596.842,632.391,647.739,662.397,695.528,810.18,939.885,1075.472,1220.51,1541.533,1571.236,1722.307,2101.673,2283.094,2306.857,2367.81,2594.078,2713.737,2942.476,3363.871,3460.274,3578.83,3410.849,3871.285,4188.137,4566.085,4957.995,5379.424,5814.712,6264.745
Southeast Asia,245.909,248.004,263.685,270.473,307.009,262.033,277.438,299.945,312.576,332.087,378.115,424.428,482.814,541.666,619.476,721.258,802.799,760.726,516.533,606.727,647.221,625.232,698.215,786.066,888.98,991.183,1186.851,1416.586,1649.345,1630.595,2017.625,2345.854,2491.274,2576.676,2598.413,2524.164,2646.163,2854.272,3059.751,3239.841,3086.07,3360.968,3648.14,3960.098,4263.16,4569.75,4892.75,5221.532
Sub-Saharan Africa (Region) ,333.613,348.974,349.734,324.208,261.467,237.583,272.12,299.795,319.4,332.626,425.237,431.008,428.711,426.95,416.738,511.186,572.259,596.289,598.55,442.09,448.165,431.046,466.625,583.532,714.257,843.753,975.126,1130.623,1282.901,1219.112,1445.343,1648.976,1713.008,1801.073,1884.256,1695.695,1582.995,1672.719,1795.274,1806.48,1708.59,1918.111,2107.837,2285.429,2483.153,2692.568,2922.799,3164.089
Western Europe,3846.496,3434.248,3306.117,3215.386,3090.092,3204.062,4373.37,5411.196,6045.84,6153.485,7636.244,8123.061,8833.92,8026.852,8516.107,9763.329,9947.333,9350.153,9644.439,9656.191,8975.376,9039.606,9849.672,11957.063,13757.994,14322.977,15240.727,17487.108,18772.934,16847.087,16788.974,18221.572,17230.305,17938.333,18529.699,16325.717,16389.724,17125.771,18445.403,18067.645,17527.818,19717.052,20023.966,21338.851,22450.649,23470.384,24474.717,25433.938
Western Hemisphere (Region),4011.717,4464.137,4441.314,4690.458,5139.812,5504.866,5755.566,6134.823,6698.585,7277.554,7752.559,8054.381,8520.713,9020.046,9671.611,10186.036,10810.28,11538.403,12023.814,12405.177,13284.967,13560.491,13684.097,14383.767,15569.503,17026.125,18426.268,19833.936,20844.093,20047.767,21874.826,23433.49,24155.521,24852.624,25452.246,25150.191,25396.688,26716.976,27671.586,28415.943,26984.681,30107.051,33147.338,34970.132,36445.534,37888.428,39372.84,40933.767
ASEAN-5,231.915,232.519,246.687,250.416,284.515,235.356,253.181,273.265,281.621,295.54,332.686,370.803,421.259,471.441,535.419,621.186,693.613,647.893,416.705,503.984,531.015,515.884,585.687,664.867,746.056,830.875,1000.339,1190.427,1397.395,1376.118,1706.405,1971.232,2092.723,2161.509,2171.883,2106.485,2218.254,2396.812,2558.185,2734.159,2601.906,2831.8,3071.605,3357.578,3634.935,3912.216,4203.58,4499
Advanced economies,8480.026,8612.631,8552.24,8899.072,9308.494,9799.478,11971.644,13922.082,15729.179,16409.041,18416.234,19669.273,21160.618,21319.178,22881.385,25334.628,25511.828,25011.176,25100.899,26433.28,26890.25,26616.384,27765.109,31146.56,34551.502,36352.654,38229.047,41761.552,44101.499,41612.543,43459.46,46669.049,46508.001,46922.449,48001.584,45420.258,46642.651,48646.208,51497.022,51994.708,50733.331,56094.941,59247.767,62839.984,65725.494,68560.891,71362.734,74128.413
Emerging and Developing Asia,764.963,758.055,774.027,818.088,858.661,834.518,857.953,938.995,1048.233,1116.849,1121.309,1129.52,1279.534,1447.846,1511.262,1807.963,2049.016,2128.088,1970.483,2164.451,2324.632,2453.402,2688.432,3065.764,3557.786,4111.743,4876.034,6181.545,7437.44,8082.011,9742.639,11638.113,12833.578,14044.934,15171.975,15781.715,16225.164,17845.478,19678.41,20514.903,20762.559,23997.369,27008.22,29596.208,31994.371,34410.639,36932.614,39610.7
Emerging and Developing Europe,256.72,267.69,272.362,270.481,260.601,269.823,285.839,305.851,343.579,360.173,1415.88,1212.999,499.786,672.318,738.454,887.518,1012.179,1072.236,956.84,826.627,913.52,934.644,1060.794,1309.16,1689.591,2096.342,2500.452,3203.19,3934.697,3083.263,3588.424,4194.495,4323.668,4573.783,4306.786,3344.218,3285.49,3706.273,3865.303,3941.547,3673.683,4285.436,4073.723,4112.192,4351.158,4610.804,4862.509,5137.95
Emerging market and developing economies,2757.536,2880.871,2729.154,2684.823,2688.916,2723.849,2800.335,3086.863,3396.156,3713.102,5237.784,4823.207,4167.643,4720.364,5103.905,5865.082,6557.044,6968.471,6723.578,6516.407,7149.624,7171.923,7134.977,8046.783,9565.42,11439.595,13533.915,16681.519,20006.941,19118.608,22976.358,27078.701,28608.957,30368.371,31320.136,29622.372,29624.724,32299.197,34587.933,35541.629,34505.291,40197.633,44619.341,47911.408,51282.252,54736.459,58366.144,62255.191
Euro area,,,,,,,,,,,,6094.428,6721.27,6109.068,6453.16,7616.179,7732.199,6942.054,7106.873,7117.33,6488.958,6584.53,7181.983,8843.837,10137.502,10511.557,11166.868,12865.965,14147.359,12918.834,12648.623,13634.915,12646.42,13195.639,13512.399,11675.605,11969.216,12673.276,13705.546,13417.455,13016.988,14504.741,14492.812,15405.997,16208.063,16924.3,17608.271,18253.135
European Union,3210.5,2835.138,2748.163,2687.534,2586.988,2662.459,3657.513,4483.249,4948.057,5038,6209.059,6621.509,7314.755,6681.165,7081.49,8282.167,8417.678,7728.6,7964.403,7923.855,7266.816,7382.346,8062.49,9912.033,11396.085,11897.651,12697.176,14714.29,16275.93,14740.238,14562.42,15754.307,14642.612,15299.045,15651.163,13551.293,13888.503,14756.851,15982.402,15694.083,15282.827,17094.168,17199.536,18319.674,19308.734,20237.066,21122.71,21972.561
Latin America and the Caribbean,863.891,933.911,766.11,697.293,726.272,779.393,774.957,822.555,926.602,1040.462,1162.741,1251.455,1371.381,1545.514,1764.757,1897.697,2061.216,2257.655,2272.899,2037.744,2227.684,2169.93,1922.303,1955.884,2245.532,2729.506,3204.036,3801.266,4427.739,4096.822,5110.124,5940.087,5971.644,6060.353,5993.374,5284.283,5069.255,5484.639,5314.211,5196.413,4342.369,5012.12,5462.553,5791.597,6108.472,6399.497,6706.78,7042.489
Major advanced economies (G7),6902.532,7116.851,7085.379,7477.32,7869.919,8341.313,10098.863,11609.041,13057.677,13555.03,14989.758,16059.887,17245.24,17590.556,18802.387,20502.22,20466.747,20195.718,20465.657,21575.232,22087.767,21830.485,22507.527,24849.67,27294.975,28494.276,29720.628,31926.713,33468.421,31874.614,33101.672,35207.278,35375.868,35394.116,36247.027,34797.648,35776.44,37000.678,39056.453,39748.661,38694.505,42375.998,45107.745,47856.141,49945.708,52037.038,54078.98,56085.954
Middle East and Central Asia,547.445,578.771,571.67,581.237,589.907,608.08,616.866,731.631,767.892,879.844,1117.292,803.457,594.167,635.483,681.29,770.202,873.577,927.221,938.48,1058.955,1251.316,1201.174,1017.574,1156.73,1388.197,1697.366,2028.618,2429.853,2995.517,2698.362,3162.721,3731.999,3824.628,3950.494,4033.302,3589.622,3535.741,3648.587,3978.531,4127.058,4063.991,5032.467,6011.585,6173.081,6396.238,6678.307,7000.983,7364.779
Other advanced economies,774.349,789.78,784.309,782.645,820.727,818.453,998.184,1228.72,1448.357,1575.482,1814.877,1927.869,2056.742,2030.111,2279.671,2687.328,2866.143,2777.322,2506.429,2685.109,2774.231,2691.505,2927.522,3373.575,3854.376,4250.36,4604.075,5266.183,5565.648,5118.874,5894.138,6734.623,6788.681,7020.179,7151.284,6581.322,6714.727,7217.141,7599.22,7458.029,7384.417,8483.598,8851.51,9354.06,9823.902,10278.155,10754.571,11243.565
Sub-Saharan Africa,324.518,342.444,344.986,317.724,253.475,232.036,264.72,287.831,309.849,315.774,420.563,425.776,422.775,419.202,408.141,501.702,561.056,583.27,584.877,428.631,432.471,412.773,445.874,559.244,684.313,804.639,924.775,1065.665,1211.549,1158.15,1372.448,1574.007,1655.439,1738.806,1814.698,1622.534,1509.075,1614.22,1751.478,1761.71,1662.689,1870.242,2063.261,2238.329,2432.012,2637.211,2863.258,3099.273
World,11237.562,11493.502,11281.394,11583.895,11997.41,12523.328,14771.979,17008.945,19125.335,20122.142,23654.018,24492.481,25328.261,26039.542,27985.29,31199.71,32068.872,31979.647,31824.477,32949.687,34039.874,33788.307,34900.086,39193.343,44116.922,47792.249,51762.962,58443.072,64108.44,60731.151,66435.818,73747.749,75116.959,77290.82,79321.72,75042.63,76267.375,80945.405,86084.955,87536.338,85238.623,96292.574,103867.109,110751.392,117007.745,123297.35,129728.878,136383.604
