General government net lending/borrowing (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Cyprus,,,,,,,,,,,,,,,,-0.7,-3,-4.8,-3.9,-4.1,-2.2,-2.1,-4.1,-5.9,-3.7,-2.2,-1,3.2,0.9,-5.4,-4.7,-5.7,-5.6,-5.2,-0.2,0.2,0.2,2,-3.5,1.3,-5.7,-1.7,-1.3,-0.3,0.2,0.6,1,1.2
Czech Republic,,,,,,,,,,,,,,,,-12.4,-3,-3.2,-4.2,-3.1,-3.6,-5.8,-6.4,-6.9,-2.4,-3,-2.2,-0.6,-2,-5.4,-4.2,-2.7,-3.9,-1.3,-2.1,-0.6,0.7,1.5,0.9,0.3,-5.6,-6.1,-3.5,-3,-2.4,-1.8,-1.3,-0.8
Côte d'Ivoire,,,,,,,,,,,,,,,,,,-0.7,-0.7,-1.3,-0.8,0.7,-0.6,-1.3,-1,-1,-1,-0.4,-0.2,-1,-1.3,-2.9,-2.3,-1.6,-1.6,-2,-3,-3.3,-2.9,-2.3,-5.6,-5.6,-4.7,-3.8,-3,-3,-3,-3
Denmark,-3.6,-6.8,-9.5,-7.7,-4.4,-2.6,2.1,1.5,0.2,-0.7,-1.5,-2.9,-2.6,-3.7,-3.6,-3.6,-2.5,-1.2,-0.4,0.9,1.9,1.1,0,-0.1,2.1,5,5,5,3.2,-2.8,-2.7,-2.1,-3.5,-1.2,1.1,-1.3,-0.1,1.8,0.8,4.1,-0.2,-0.3,0.8,0.6,0.3,0,0,0
Djibouti,,,,,,,,,,,-3.3,-0.9,-6.1,-7.1,-5,-5.1,-1.8,-2.9,-3.6,-5.2,-4,-3.6,-4.6,-4.1,-3.7,-1.2,0.3,-1.9,0.6,-3.9,-1,-1.2,-2,-4.2,-6.9,-15.3,-8.3,-4.5,-2.8,-0.9,-1.6,-1.9,-4,-2.6,-2.3,-2.1,-2,-1.7
Dominica,,,,,,,,,,,-4.7,-3,-2.2,-1.4,-3.4,-2.9,-1.6,-2.2,-6,-9.2,-8.7,-6.5,-4.1,0.8,-0.7,0.9,2.9,1.8,0.7,-0.3,-3.4,-4.4,-5.4,-2.9,-5.5,11.4,11.4,-3.2,-18.5,-8.3,-7.3,-9,-1.4,-2,-3.7,-3.2,-1.7,0
Dominican Republic,,,,,,,,,,,,,,,,,,-1.1,-0.8,-1.3,-1.4,-1.6,-1.8,-6.2,-3.4,-0.4,-0.9,0.1,-3.2,-3,-2.7,-3.1,-6.6,-3.5,-2.8,0,-3.1,-3.1,-2.2,-2.2,-7.9,-2.9,-2.7,-2.8,-2.8,-2.4,-2.4,-2.4
Ecuador,,,,,,,,,,,,,,,,-1.9,-3.3,-2.7,-4.9,-4.6,-0.3,0,0.7,1,1.9,0.6,2.9,2.6,0.6,-3.6,-1.4,-0.1,-0.9,-4.6,-5.2,-6.1,-8.2,-4.5,-2.1,-2.7,-6.1,-1.5,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,2.1,1.3,-1.1,-6.8,-5.7,-5.8,-6.7,-7.4,-4.9,-6,-6.2,-7.4,-9.6,-10,-12.9,-11.3,-10.9,-12.5,-10.4,-9.4,-8,-7.8,-7.3,-6.8,-6.1,-7.1,-6.7,-6.1,-5.6
El Salvador,,,,,,,,,,,-0.6,-2.3,-4.3,-1.4,-0.9,-0.2,-2.7,-2,-2.9,-3.1,-3.4,-4.9,-5.5,-4,-2.8,-3.5,-3.4,-2.3,-3.8,-6.6,-5,-4.5,-3.8,-4.5,-4,-3.6,-3.1,-2.5,-2.7,-3.1,-8.2,-5.7,-5.6,-6.5,-6.7,-8.2,-8.2,-8.1
Equatorial Guinea,-204.1,-174.9,-184.9,-154.6,-114.4,-89.3,-97.3,-158,-208.5,-76.2,-160.2,-236,-557.5,-217.9,-487.3,-123.4,-6.4,3.2,-7.7,-0.2,-2.7,14.9,17.6,7.8,13.9,18.5,21.8,17.2,14.6,-6.5,-4.5,0.8,-7.2,-4.4,-7.5,-15.1,-10.9,-2.6,0.5,1.8,-1.7,1.7,3.5,4.4,2.4,1.7,1.2,1.5
