"Current account balance
U.S. dollars (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Uzbekistan,,,,,,,,,,,,,-0.237,-0.439,0.12,-0.02,-0.98,-0.584,-0.102,-0.163,0.547,0.185,0.277,0.642,0.86,1.146,1.729,1.807,3.183,1.76,2.279,2.783,1.209,1.316,2.076,0.896,0.213,1.478,-3.593,-3.366,-3.007,-4.81,-6.919,-6.037,-6.274,-5.891,-6.09,-6.553
Vanuatu,0.001,0.014,0.012,0.009,0.022,0.001,0.006,0.013,0.003,0.012,0.005,-0.005,-0.005,-0.003,-0.008,-0.005,-0.003,0.001,0.006,-0.019,0.003,-0.004,-0.016,-0.025,-0.01,-0.036,-0.026,-0.034,-0.062,-0.048,-0.04,-0.059,-0.05,-0.026,0.06,0.002,0.026,-0.039,0.113,0.126,0.025,-0.018,-0.079,-0.065,-0.048,-0.052,-0.054,-0.059
Venezuela,5.176,4.436,-3.878,4.803,5.045,3.717,-1.987,-1.39,-5.539,2.439,8.452,1.924,-3.753,-1.993,2.623,2.136,8.989,3.732,-4.432,2.112,11.853,1.983,7.599,11.796,15.519,25.447,26.462,13.464,31.297,0.429,5.585,16.342,2.586,4.604,4.919,-16.051,-3.87,8.706,8.613,4.342,-4.406,-0.634,4.417,3.238,,,,
Vietnam,-0.565,-0.739,-0.616,-0.685,-0.98,-0.943,-1.48,-1.388,-0.769,-0.584,-0.259,-0.133,-0.008,-1.395,-1.872,-2.648,-2.02,-1.528,-1.373,1.177,0.85,0.92,-0.627,-1.931,-1.591,-0.56,-0.164,-6.992,-10.787,-6.608,-4.276,0.233,9.267,7.744,8.617,-2.039,0.625,-1.651,5.769,12.167,15.06,-1.762,-0.377,3.81,3.293,1.919,0.821,-0.309
West Bank and Gaza,,,,,,,,,,,,,,,-0.84,-1.04,-1.056,-1.181,-1.076,-1.485,-0.857,-0.828,-0.486,-1.071,-1.588,-1.365,-1.234,-0.419,0.381,-1.137,-1.307,-2.07,-1.821,-1.997,-1.901,-1.939,-2.143,-2.13,-2.14,-1.779,-1.903,-2.263,-2.512,-2.593,-2.538,-2.513,-2.426,-2.36
Yemen,,,,,,,,,,,0.737,-0.5,-0.414,-0.467,0.273,0.039,0.058,0.022,-0.318,0.55,1.337,0.671,0.443,0.176,0.225,0.633,0.232,-1.508,-1.251,-2.527,-1.054,-0.982,-0.606,-1.242,-0.315,-2.623,-0.888,-0.37,-0.182,-0.842,-1.123,-1.024,-3.451,-2.94,-3.167,-3.038,-2.638,-2.406
Zambia,-0.589,-0.869,-0.741,-0.329,-0.332,-0.35,-0.286,-0.104,0.015,-0.151,-0.093,0.009,-0.118,-0.088,0.047,-0.145,-0.122,-0.182,-0.57,-0.386,-0.438,-0.674,-0.509,-0.507,-0.188,-0.232,0.593,-0.174,-0.597,0.913,1.525,1.093,1.248,-0.218,0.581,-0.571,-0.685,-0.435,-0.341,0.131,2.181,1.395,1.179,1.199,1.161,1.18,1.008,1.302
Zimbabwe,-0.301,-0.674,-0.748,-0.504,-0.171,-0.153,-0.051,0,0.05,-0.079,-0.257,-0.547,-0.842,-0.311,-0.318,-0.369,-0.18,-0.801,-0.159,0.244,0.322,0.365,0.249,-0.069,-0.128,-0.087,0.154,0.298,-0.138,-0.73,-1.655,-2.75,-2.278,-2.649,-2.334,-1.597,-0.697,-0.271,-1.38,0.92,1.096,1.169,0.901,0.503,0.251,-0.088,-0.479,-0.917
Africa (Region),7.256,-28.932,-25.839,-15.895,-11.449,0.054,-9.81,-5.515,-12.254,-10.871,-3.537,-4.917,-1.117,-5.25,-10.234,-14.996,-0.376,-7.164,-22.869,-10.741,14.746,5.249,-1.316,4.653,26.265,67.811,84.459,70.833,64.191,-32.665,3.007,-6.681,-23.537,-64.328,-111.724,-153.64,-118.546,-80.357,-67.369,-93.372,-93.332,-45.868,-50.987,-81.029,-92.274,-101.243,-106.276,-109.475
Asia and Pacific,,,,,,,,,,,,,,,,,,84.84,208.043,183.341,182.695,162.463,211.655,269.612,301.362,317.937,452.939,618.929,567.506,482.268,514.259,262.212,211.991,215.513,387.355,570.803,550.434,501.261,269.375,457.669,704.028,730.635,522.244,514.098,517.688,513.202,452.135,418.361
Australia and New Zealand,-4.759,-8.799,-9.39,-6.626,-10.152,-9.969,-10.703,-8.709,-10.557,-19.86,-17.045,-11.708,-11.914,-10.869,-17.67,-21.387,-17.977,-16.024,-20.285,-25.488,-18.178,-8.899,-17.451,-30.849,-46.052,-52.232,-54.2,-73.235,-61.523,-47.834,-49.239,-50.006,-75.235,-57.037,-50.569,-62.177,-45.347,-41.292,-38.654,2.261,33.494,43.445,35.31,-5.035,-5.515,-8.124,-11.96,-17.397
Caribbean,-0.027,-0.602,-1.575,-1.773,-1.056,-0.568,-0.78,-0.647,-0.371,-0.432,-0.15,-0.745,-0.005,0.196,0.479,0.342,-0.033,-1.519,-1.98,-0.945,-0.115,-0.968,-1.896,-0.379,0.841,1.853,4.745,2.272,4.115,-0.635,2.087,0.598,-0.024,0.739,-2.005,-2.207,-3.412,-2.066,-2.948,-3.854,-4.746,-4.753,3.393,3.656,2.223,1.744,2.039,2.795
Central America,-2.401,-2.934,-2.063,-1.393,-1.81,-1.39,-1.048,-1.287,-0.693,-1.733,-1.268,-1.388,-3.185,-3.017,-2.644,-2.759,-2.328,-2.871,-3.79,-4.717,-5.308,-4.086,-4.486,-3.38,-3.809,-5.333,-6.267,-10.528,-16.407,-4.574,-11.231,-16.411,-16.019,-15.983,-16.749,-11.817,-8.302,-7.004,-10.191,-3.633,4.722,-6.977,-12.869,-10.923,-11.204,-11.207,-11.62,-11.727
Central Asia and the Caucasus,-3.09,-1.901,-0.952,-1.923,-1.439,-1.013,-1.465,-0.806,1.596,0.961,-2.625,0.909,-3.046,-7.82,1.49,-3.792,-6.17,-6.476,-2.964,-3.217,-9.334,2.124,-0.413,-7.919,-13.953,-18.986,-24.723,-29.092,-12.737,-5.933,-27.886,-43.646,-32.769,-47.806,-27.492,-43.109,-47.404,-48.33,-18.219,-0.54,-46.527,-18.201,-13.023,2.172,2.257,-0.814,-10.916,-18.711
East Asia,,,,,,,,,,,,,,,,,,120.389,192.282,175.342,176.89,133.175,186.007,239.42,314.472,351.354,456.486,635.603,622.005,483.023,538.658,329.863,365.549,320.808,418.575,616.673,570.3,564.952,361.578,422.907,591.943,702.715,521.517,558.209,575.322,584.875,549.119,543.075
Eastern Europe ,-5.958,-6.07,-1.3,-0.597,1.186,-0.218,-2.023,0.275,2.821,-0.327,-0.329,-4.803,-6.044,-10.834,2.933,-0.167,-7.876,-22.919,-24.418,-1.672,24.086,13.758,6.639,1.62,12.684,37.89,19.035,-56.806,-52.813,-6.904,0.628,22.121,14.273,-1.237,33.72,61.789,22.714,27.089,90.759,48.141,54.259,84.517,162.04,72.741,27.345,13.191,2.109,-4.479
Europe,-67.534,-40.99,-25.779,-0.671,15.665,17.24,40.494,27.131,15.036,-4.568,-29.331,-88.436,-83.419,9.916,26.524,55.433,87.968,121.073,63.175,51.249,12.6,39.307,74.042,93.358,194.902,179.913,164.077,38.861,-92.717,106.159,182.201,263.939,392.782,430.12,444.626,451.976,417.787,494.238,582.014,479.898,428.232,742.41,542.434,546.681,577.691,600.669,610.837,623.093
Middle East (Region),71.724,67.255,29.069,-6.81,-2.505,1.341,-8.317,-3.964,-2.272,4.793,6.65,-68.245,-29.986,-23.147,-10.161,-6.397,7.79,6.377,-23.673,12.022,60.941,34.804,28.071,49.37,75.781,172.115,225.327,199.171,279.146,50.997,162.519,403.365,404.647,361.167,250.086,-45.496,-44.882,39.356,168.937,92.216,-19.114,202.673,523.568,387.731,292.864,228.422,191.973,170.723
North Africa,7.017,-7.241,-6.021,-4.949,-6.721,-1.16,-5.832,-3.543,-5.511,-5.868,-0.495,3.095,4.869,0.446,-2.979,-3.629,-0.252,1.953,-5.646,-2.321,10.634,8.803,2.932,7.919,20.239,41.336,57.625,61.387,65.703,-1.151,15.871,5.032,12.523,-17.88,-42.437,-54.988,-59.09,-40.114,-22.43,-30.851,-38.047,-22.725,-12.363,-22.194,-28.076,-29.148,-31.636,-35.163
North America,-16.092,-26.091,-5.791,-27.949,-84.739,-119.201,-158.219,-166.599,-139.188,-129.586,-109.774,-41.555,-109.202,-141.199,-178.301,-120.134,-124.661,-157.145,-239.544,-299.396,-401.679,-395.225,-455.956,-516.49,-616.502,-732.349,-800.903,-733.949,-710.857,-427.432,-494.363,-515.708,-501.116,-428.854,-437.138,-494.196,-468.898,-427.96,-503.571,-511.071,-619.274,-810.235,-861.284,-867.801,-809.066,-764.628,-735.549,-705.995
Pacific Islands ,-0.283,-0.603,-0.411,-0.468,-0.355,-0.233,-0.107,-0.158,-0.281,-0.371,-0.256,-0.304,-0.099,0.371,0.432,0.78,0.154,-0.544,-0.324,-0.196,0,-0.066,-0.151,-0.16,-0.442,0.197,-0.779,-0.393,-0.197,-1.241,-3.327,-4.837,-8.036,-7.292,2.968,5.076,5.649,6.029,5.553,4.483,4.641,4.979,6.456,6.196,6.399,6.441,6.461,6.524
South America,-14.161,-23.486,-32.199,-10.168,-2.543,-0.893,-13.773,-11.689,-6.201,3.03,7.762,0.03,-6.577,-18.977,-19.291,-33.801,-33.847,-53.551,-67.661,-35.839,-23.425,-29.931,4.16,21.077,31.719,46.566,56.31,27.062,-9.001,-18.772,-84.929,-85.173,-114.037,-126.113,-146.144,-127.917,-66.69,-65.752,-104.614,-96.699,-35.088,-65.36,-48.403,-53.036,-61.459,-68.66,-72.767,-80.145
South Asia,-4.872,-5.259,-5.499,-5.098,-4.438,-7.006,-6.594,-7.068,-10.336,-9.567,-12.776,-4.504,-7.082,-5.565,-6.538,-9.739,-10.708,-10.515,-6.694,-7.426,-4.01,2.88,9.213,18.239,-1.158,-12.882,-15.539,-23.148,-45.687,-45.592,-50.534,-85.915,-96.6,-34.874,-30.21,-23.081,-17.111,-66.233,-93.058,-48.683,11.078,-63.284,-145.982,-133.858,-137.693,-141.396,-150.685,-161.6
Southeast Asia,-3.567,-7.326,-12.445,-14.711,-5.878,-2.097,-2.417,0.057,1.068,-0.907,-8.885,-10.007,-4.981,-10.807,-7.75,-18.298,-17.468,-1.99,46.028,44.328,37.327,33.248,34.45,50.881,48.495,50.486,91.695,109.195,65.645,99.846,106.588,116.752,59.082,41.715,74.084,77.421,84.345,86.135,52.175,77.241,109.401,60.98,117.967,86.413,76.917,72.218,70.117,66.471
Sub-Saharan Africa (Region) ,0.24,-21.691,-19.818,-10.946,-4.727,1.214,-3.978,-1.973,-6.743,-5.003,-3.042,-8.012,-5.986,-5.695,-7.255,-11.367,-0.124,-9.117,-17.223,-8.42,4.112,-3.554,-4.249,-3.267,6.027,26.475,26.835,9.446,-1.511,-31.514,-12.864,-11.713,-36.06,-46.448,-69.286,-98.652,-59.456,-40.244,-44.939,-62.521,-55.285,-23.143,-38.624,-58.835,-64.198,-72.095,-74.64,-74.311
Western Europe,-61.577,-34.92,-24.479,-0.074,14.48,17.458,42.517,26.855,12.215,-4.241,-29.003,-83.633,-77.375,20.75,23.59,55.6,95.844,143.992,87.592,52.921,-11.486,25.549,67.403,91.739,182.218,142.023,145.043,95.667,-39.904,113.063,181.573,241.818,378.508,431.357,410.906,390.187,395.073,467.149,491.256,431.757,373.974,657.893,380.394,473.94,550.347,587.477,608.728,627.572
Western Hemisphere (Region),-32.68,-53.113,-41.628,-41.283,-90.148,-122.053,-173.82,-180.222,-146.454,-128.721,-103.43,-43.658,-118.969,-162.996,-199.756,-156.352,-160.869,-215.086,-312.974,-340.897,-430.526,-430.21,-458.178,-499.172,-587.751,-689.262,-746.115,-715.143,-732.15,-451.413,-588.436,-616.694,-631.196,-570.21,-602.036,-636.137,-547.303,-502.782,-621.324,-615.257,-654.385,-887.325,-919.163,-928.104,-879.505,-842.751,-817.897,-795.071
ASEAN-5,-1.912,-8.441,-13.804,-16.512,-8.339,-5.216,-4.682,-2.023,-3.046,-5.923,-14.305,-17.322,-12.578,-16.057,-20.401,-33.654,-32.426,-18.635,27.944,29.085,24.413,18.458,18.757,24.614,23.131,16.078,44.851,53.206,29.86,66.1,45.403,49.446,3.144,-7.553,18.351,24.462,33.136,32.871,2.689,29.663,57.671,-3.352,62.708,30.232,19.779,13.54,10.464,6.05
Advanced economies,-91.678,-56.938,-40.441,-33.904,-51.186,-55.913,-19.28,-43.173,-27.937,-58.124,-84.577,-35.301,-34.904,51.271,9.892,20.064,8.218,66.425,16.139,-95.486,-252.693,-240.844,-235.287,-237.961,-215.278,-393.202,-452.914,-391.387,-585.481,-75.151,6.265,-45.663,42.107,232.988,225.389,272.628,367.75,488.899,401.151,337.901,207.809,379.292,-65.007,23.378,199.664,314.907,379.122,435.814
Emerging and Developing Asia,,,,,,,,,,,,,,,,,,11.919,53.362,44.711,43.134,40.033,62.173,84.047,91.757,141.948,272.436,396.601,424.141,273.271,238.508,95.202,116.991,97.174,227.569,296.705,212.241,166.351,-51.251,92.871,319.516,247.903,156.006,132.746,100.119,69.228,9.912,-21.94
Emerging and Developing Europe,-9.047,-7.971,-2.252,-2.52,-0.253,-1.231,-3.488,-0.531,4.417,0.634,-2.954,-3.894,-8.297,-17.706,5.185,-0.79,-2.711,-18.196,-16.404,2.519,19.363,23.952,13.822,4.843,11.075,28.837,6.504,-63.705,-66.284,-13.547,-32.937,-40.421,-30.22,-59.265,-10.948,34.206,-8.409,-20.031,66.082,49.999,0.323,71.093,130.876,70.28,29.939,15.353,-2.249,-13.474
Emerging market and developing economies,34.449,-26.038,-52.239,-43.028,-17.818,-8.816,-48.456,,,,,,,,,,,-76.462,-104.503,-9.598,92.946,52.18,91.615,157.947,228.991,444.222,635.449,607.678,673.97,235.834,277.498,365.731,328.916,158.747,160.037,-75.52,-99.208,-22.489,-52.156,0.73,160.133,365.334,682.257,420.702,226.996,97.523,-32.762,-112.321
Euro area,,,,,,,,,,,,,,,,,,56.94,22.97,-36.11,-94.213,-23.63,43.448,21.655,71.65,11.156,-18.444,5.189,-260.241,-39.909,-41.423,-48.564,123.783,276.138,316.869,313.47,363.987,402.055,392.399,306.661,250.032,345.152,257.11,344.052,398.56,439.509,459.926,479.322
European Union,-71.151,-54.622,-32.94,-4.982,8.932,9.835,46.731,37.831,45.059,28.262,-3.055,-87.217,-79.539,2.952,4.715,36.34,59.11,95.681,56.356,37.204,-50.083,-6.403,38.716,32.191,109.809,51.238,48.768,4.763,-120.785,76.444,81.955,132.069,312.164,433.385,451.855,443.194,472.324,502.195,509.113,450.619,437.247,560.804,348.545,441.489,501.595,546.951,577.143,602.628
Latin America and the Caribbean,-28.908,-45.3,-37.622,0.277,5.824,2.181,-15.046,-5.603,-9.705,-6.797,-4.006,-23.71,-45.914,-55.962,-64.366,-37.795,-38.715,-65.606,-89.423,-55.5,-47.6,-52.476,-15.263,12.095,24.068,37.351,51.469,9.313,-37.913,-31.637,-98.81,-112.759,-148.461,-172.742,-190.157,-172.846,-102.545,-94.85,-142.079,-107.656,-8.901,-81.956,-65.936,-70.615,-81.77,-91.015,-98.299,-107.319
Major advanced economies (G7),-47.612,-19.173,-10.371,-18.329,-58.964,-63.922,-37.461,-66.965,-50.48,-60.302,-72.788,-30.922,-35.628,9.588,-22.744,-17.122,-19.559,16.775,-58.837,-168.531,-311.221,-307.609,-321.317,-370.434,-356.275,-486.318,-549.575,-415.595,-540.979,-210.496,-236.752,-281.552,-296.721,-230.95,-238.989,-173.373,-60.563,17.281,-68.036,-57.224,-272.183,-390.508,-688.094,-578.757,-429.515,-333.259,-283.265,-232.28
Middle East and Central Asia,77.774,59.157,23.833,-10.67,-9.54,-2.482,-17.38,-8.687,-10.166,-4.826,2.581,-68.072,-28.935,-26.291,-13.78,-9.893,4.144,3.661,-36.018,6.56,73.474,43.923,34.624,59.538,95.013,206.565,271.909,251.714,351.004,34.108,182.283,432.478,418.699,332.314,198.374,-140.635,-145.985,-39.139,114.805,22.526,-101.734,149.128,496.367,343.374,239.536,173.148,129.742,101.968
Other advanced economies,,,,,3.569,5.732,8.956,19.719,20.47,8.743,4.777,12.621,15.808,28.646,15.979,5.332,10.369,27.419,72.597,74.622,80.651,92.013,97.36,142.046,156.687,160.703,192.095,178.888,154.802,197.498,274.687,258.409,267.105,334.742,350.78,350.399,330.012,333.221,331.561,349.205,409.134,602.295,518.352,487.742,498.176,501.147,504.138,502.702
Sub-Saharan Africa,1.171,-20.32,-18.718,-10.233,-3.961,2.039,-2.619,-0.372,-4.902,-2.958,-1.016,-5.539,-4.436,-4.366,-6.007,-10.157,0.717,-8.24,-16.021,-7.889,4.574,-3.252,-3.741,-2.576,7.078,29.521,33.131,13.755,3.023,-26.362,-11.545,-8.769,-28.093,-38.735,-64.801,-92.949,-54.51,-34.819,-39.713,-57.01,-49.071,-20.834,-35.055,-55.082,-60.827,-69.191,-71.868,-71.556
World,-57.229,-82.976,-92.681,-76.931,-69.004,-64.729,-67.736,-65.437,-59.449,-85.63,-114.297,-154.578,-139.472,-69.776,-92.499,-78.16,-66.392,-10.036,-88.364,-105.084,-159.747,-188.663,-143.671,-80.014,13.712,51.02,182.535,216.291,88.489,160.683,283.764,320.068,371.023,391.735,385.426,197.108,268.542,466.41,348.995,338.631,367.942,744.626,617.25,444.08,426.66,412.43,346.361,323.493
